SubjNum,GroupNum,Sex,Age,AudCoh,VisCoh,AudStairThres,VisStairThres,AudStd,VisStd,AudMu,VisMu,AO_acc,VO_acc,AV_perf_acc,AV_aud_acc,AV_vis_acc,A_Vnoise,V_Anoise,MaxA_V,GAIN,SD_Diff,Mu_Diff,SD_Ratio,Mu_Ratio,Violation(ms),MRE(ms),AUD_Westimate,VIS_Westimate,AV_EstimatedSD,Avnoise/AO,AUD_R2,VIS_R2
2,16,1,18,0.177,0.044,0.177,0.044,0.27512,0.12911,-0.059071,-0.030555,0.825,0.7,0.775,0.95,0.75,0.55,0.75,0.825,-0.060606061,0.14601,-0.028516,2.130896135,1.933267878,1,-41,0.1805,0.8195,0.1169,0.666666667,0.875,0.7484
3,16,2,20,0.25,0.088,0.25,0.088,0.4372,1.2164,-0.020995,0.093494,0.95,0.725,0.825,0.875,0.775,0.85,0.675,0.95,-0.131578947,-0.7792,-0.114489,0.359421243,-0.224559865,0,-46,0.8856,0.1144,0.4114,0.894736842,0.8049,0.1528
4,16,1,19,0.177,0.125,0.177,0.125,0.26784,1.1077,-0.049343,0.057849,0.825,0.725,0.825,0.9,0.9,0.65,0.85,0.825,0,-0.83986,-0.107192,0.241798321,-0.852962022,29,86,0.9448,0.0552,0.2603,0.787878788,,
5,16,1,19,0.177,0.125,0.177,0.125,0.47078,0.31181,0.094183,-0.11091,0.425,0.4,0.525,0.6,0.65,0.55,0.5,0.425,0.235294118,0.15897,0.205093,1.509829704,-0.849184023,1,-266,0.3049,0.6951,0.26,1.294117647,,
6,16,1,20,0.062,0.088,0.062,0.088,0.22731,0.38456,-0.015137,-0.065507,0.575,0.675,0.55,0.425,0.65,0.475,0.525,0.675,-0.185185185,-0.15725,0.05037,0.591091117,0.231074542,1,-1,0.7411,0.2589,0.1957,0.826086957,,
7,16,1,18,0.125,0.25,0.125,0.25,0.27953,0.8688,0.041355,-0.41443,0.625,0.65,0.65,0.575,0.925,0.55,0.675,0.65,0,-0.58927,0.455785,0.321742634,-0.09978766,0,-143,0.9062,0.0938,0.2661,0.88,,
8,16,1,19,0.044,0.031,0.044,0.031,0.21355,0.25127,-0.032411,0.019286,0.45,0.4,0.6,0.625,0.6,0.475,0.55,0.45,0.333333333,-0.03772,-0.051697,0.849882596,-1.680545473,0,-71,0.5806,0.4194,0.1627,1.055555556,,
10,16,1,22,0.177,0.088,0.177,0.088,0.33879,0.13106,-0.056358,-0.07493,0.675,0.825,0.8,1,0.75,0.5,0.875,0.825,-0.03030303,0.20773,0.018572,2.584999237,0.752141999,19,45,0.1302,0.8698,0.1222,0.740740741,,
11,16,2,20,0.177,0.125,0.177,0.125,0.57529,0.82861,0.13552,0.12361,0.725,0.875,0.775,0.725,0.65,0.575,0.675,0.875,-0.114285714,-0.25332,0.01191,0.694283197,1.096351428,0,-75,0.6747,0.3253,0.4726,0.793103448,,
2,15,1,19,0.088,0.354,0.088,0.354,0.26563,0.35632,0.024868,-0.42472,0.625,0.45,0.55,0.5,0.55,NaN,NaN,0.625,-0.12,-0.09069,0.449588,0.74548159,-0.058551516,0,-49,0.6428,0.3572,0.213,NaN,,
3,15,1,18,0.354,0.088,0.354,0.088,0.46107,0.43908,0.077716,-0.059854,0.9,0.5,0.625,1,0.425,NaN,NaN,0.9,-0.305555556,0.02199,0.13757,1.05008199,-1.29842617,1,14,0.4756,0.5244,0.318,NaN,,
4,15,2,18,0.177,0.044,0.177,0.044,0.32507,0.21289,-0.0044432,-0.037207,0.9,0.575,0.475,0.925,0.475,NaN,NaN,0.9,-0.472222222,0.11218,0.0327638,1.526938795,0.119418389,2,5,0.3001,0.6999,0.1781,NaN,,
5,15,1,18,0.177,0.022,0.177,0.022,0.25191,0.39296,-0.077071,-0.070533,0.925,0.6,0.8,0.9,0.55,NaN,NaN,0.925,-0.135135135,-0.14105,-0.006538,0.641057614,1.0926942,0,-110,0.7087,0.2913,0.2121,NaN,,
6,15,2,24,0.177,0.5,0.177,0.5,0.45722,2.2038,-0.06862,-0.3596,0.675,0.8,0.85,0.55,0.85,NaN,NaN,0.8,0.0625,-1.74658,0.29098,0.207468917,0.190823137,0,-417,0.9587,0.0413,0.4477,NaN,,
7,15,2,18,0.062,0.088,0.062,0.088,0.20148,0.1602,0.12534,-0.011491,0.55,0.775,0.675,0.675,0.625,NaN,NaN,0.775,-0.129032258,0.04128,0.136831,1.257677903,-10.90766687,0,-360,0.3873,0.6127,0.1254,NaN,,
8,15,2,18,0.177,0.177,0.177,0.177,0.30142,0.45691,0.11273,0.039617,0.875,0.775,0.658333333,0.658333333,0.658333333,NaN,NaN,0.875,-0.247619048,-0.15549,0.073113,0.659692281,2.845495621,4,-229,0.6968,0.3032,0.2516,NaN,,
9,15,1,19,0.031,0.125,0.031,0.125,0.22456,0.29228,0.15039,-0.00069259,0.5,0.925,0.9,0.5,0.85,NaN,NaN,0.925,-0.027027027,-0.06772,0.15108259,0.768304366,-217.1414545,19,-5,0.6288,0.3712,0.1781,NaN,,
10,15,1,19,0.177,0.5,0.177,0.5,0.29466,2.0834,-0.0029127,-0.85377,0.775,0.95,0.95,0.675,1,NaN,NaN,0.95,0,-1.78874,0.8508573,0.141432274,0.003411575,0,-49,0.9804,0.0196,0.2918,NaN,,
2,18,1,19,0.088,1,0.088,2.828,0.22489,0.66047,0.010428,-0.010512,0.325,1,1,0.475,1,0.55,1,1,0,-0.43558,0.02094,0.340499947,-0.992009132,0,-589,0.8961,0.1039,0.2129,1.692307692,,
3,18,1,19,0.177,0.125,0.177,0.354,0.33886,0.17655,0.12007,0.016491,0.975,0.875,0.975,1,0.85,0.55,0.85,0.975,0,0.16231,0.103579,1.919342962,7.280941119,0,-203,0.2135,0.7865,0.1566,0.564102564,,
4,18,1,19,0.125,0.125,0.125,0.354,0.21723,0.3873,-0.02273,-0.085804,0.8,0.55,0.691666667,0.691666667,0.691666667,0.675,0.575,0.8,-0.135416667,-0.17007,0.063074,0.560883036,0.264906065,88,156,0.7607,0.2393,0.1895,0.84375,,
5,18,1,18,0.088,0.125,0.088,0.354,0.32151,0.32601,-0.025283,-0.014681,0.65,0.45,0.425,0.45,0.7,0.475,0.575,0.65,-0.346153846,-0.0045,-0.010602,0.986196742,1.722157891,0,-254,0.5069,0.4931,0.2289,0.730769231,,
6,18,2,19,0.088,0.177,0.088,0.501,0.27523,0.47192,0.067933,-0.35751,0.5,0.525,0.6,0.6,0.775,0.525,0.65,0.525,0.142857143,-0.19669,0.425443,0.583213256,-0.190017062,0,-72,0.7462,0.2538,0.2377,1.05,,
7,18,1,20,0.177,0.125,0.177,0.354,0.51113,0.41536,-0.031075,-0.13207,0.6,0.65,0.675,0.525,0.6,0.425,0.625,0.65,0.038461538,0.09577,0.100995,1.230571071,0.235291891,0,-346,0.3977,0.6023,0.3223,0.708333333,,
8,18,1,19,0.125,0.088,0.125,0.249,0.28749,0.37465,-0.026419,-0.033416,0.85,0.45,0.75,0.825,0.55,0.65,0.55,0.85,-0.117647059,-0.08716,0.006997,0.767356199,0.790609289,2,1,0.6294,0.3706,0.2281,0.764705882,,
9,18,2,19,0.177,0.177,0.177,0.501,0.39283,1.1543,0.053232,0.062355,0.775,0.475,0.566666667,0.566666667,0.566666667,0.625,0.55,0.775,-0.268817204,-0.76147,-0.009123,0.340318808,0.853692567,151,241,0.8962,0.1038,0.3719,0.806451613,,
10,18,1,19,0.088,0.125,0.088,0.354,2.8863,0.3966,-0.11402,-0.10878,0.525,0.5,0.675,0.525,0.475,0.575,0.575,0.525,0.285714286,2.4897,-0.00524,7.277609682,1.04817062,7,38,ndy,0.9815,0.3929,1.095238095,,
12,18,2,20,0.088,0,0.088,0,0.17707,0.33141,0.035544,-0.037279,0.55,0.575,0.525,0.65,0.44,0.525,NaN,0.575,-0.086956522,-0.15434,0.072823,0.53429287,-0.953459052,44,187,0.7779,0.2221,0.1562,0.954545455,,
13,18,1,19,0.177,0.088,0.177,0.249,0.2895,0.33894,0.017471,0.075679,0.95,0.6,0.775,0.9,0.625,0.875,0.5,0.95,-0.184210526,-0.04944,-0.058208,0.854133475,0.230856645,0,-178,0.5782,0.4218,0.2201,0.921052632,,
14,18,2,22,0.25,0.088,0.25,0.249,0.45235,0.26337,-0.023554,0.038463,0.7,0.65,0.675,0.9,0.75,0.575,0.7,0.7,-0.035714286,0.18898,-0.062017,1.717545658,-0.61238073,0,-477,0.2532,0.7468,0.2276,0.821428571,,
15,18,1,18,0.044,0,0.044,0,0.18036,0.65264,-0.041634,-0.044429,0.575,0.55,0.55,0.475,0.4,0.55,NaN,0.575,-0.043478261,-0.47228,0.002795,0.276354499,0.937090639,-157,21,0.929,0.071,0.1738,0.956521739,,
16,18,1,19,0.354,0.044,0.354,0.124,0.76224,0.2919,-0.31807,-0.028354,0.5,0.425,0.625,0.95,0.6,0.55,0.375,0.5,0.25,0.47034,-0.289716,2.611305242,11.21781759,2,44,0.1279,0.8721,0.2726,1.1,,
18,18,1,21,0.25,0.022,0.25,0.062,0.50088,0.14771,0.006293,0.021066,0.925,0.625,0.65,1,0.525,0.625,0.625,0.925,-0.297297297,0.35317,-0.014773,3.39096879,0.298727808,0,-54,0.08,0.92,0.1417,0.675675676,,
19,18,1,18,0.5,0.25,0.5,0.707,1.2892,0.725,-0.26239,-0.37613,0.925,0.55,0.8,0.75,0.725,0.85,0.625,0.925,-0.135135135,0.5642,0.11374,1.778206897,0.697604552,0,-38,0.2403,0.7597,0.6319,0.918918919,,
20,18,1,19,0.125,0.177,0.125,0.501,0.33999,0.63371,0.087785,0.22833,0.575,0.325,0.35,0.425,0.4,0.4,0.375,0.575,-0.391304348,-0.29372,-0.140545,0.536507235,0.384465467,8,37,0.7765,0.2235,0.2996,0.695652174,,
1,20,1,18,0.062,0.062,0.088,0.088,0.23975,0.15052,-0.027097,-0.036393,0.5,0.775,0.775,0.775,0.775,0.6,0.725,0.775,0,0.08923,0.009296,1.592811587,0.744566263,191,246,0.2827,0.7173,0.1275,1.2,,
2,20,1,18,0.062,0.088,0.088,0.124,0.17116,0.32214,0.012356,-0.12379,0.625,0.775,0.675,0.725,0.825,0.6,0.775,0.775,-0.129032258,-0.15098,0.136146,0.531321786,-0.099814201,8,5,0.7798,0.2202,0.1511,0.96,,
4,19,2,20,0.031,0,0.088,0,0.22643,0.47833,0.052081,-0.16985,0.475,0.425,0.5125,0.475,0.37,0.5125,NaN,0.475,0.078947368,-0.2519,0.221931,0.473376121,-0.306629379,0,-300,0.8169,0.1831,0.2047,1.078947368,,
6,19,2,20,0.177,0.088,0.501,0.249,0.71536,0.14553,-0.16435,-0.038947,0.55,0.75,0.8,0.925,0.825,0.45,0.775,0.75,0.066666667,0.56983,-0.125403,4.915550058,4.219837215,0,-230,0.0397,0.9603,0.1426,0.818181818,,
7,19,2,18,0.088,0.062,0.249,0.175,0.31519,0.27344,-0.0020972,-0.085016,0.5,0.475,0.55,0.55,0.55,0.575,0.45,0.5,0.1,0.04175,0.0829188,1.152684318,0.024668298,21,52,0.4294,0.5706,0.2065,1.15,,
8,19,1,18,0.062,0.044,0.175,0.124,0.27249,0.27244,0.012952,-0.030999,0.55,0.55,0.55,0.45,0.675,0.45,0.475,0.55,0,5E-05,0.043951,1.000183527,-0.41781993,0,-164,0.4999,0.5001,0.1927,0.818181818,,
8,19,2,19,0.062,0.177,0.175,0.501,0.20094,0.33478,-0.018699,-0.11993,0.475,0.7,0.675,0.7,0.825,0.775,0.45,0.7,-0.035714286,-0.13384,0.101231,0.600215067,0.155915951,5,-86,0.7352,0.2648,0.1723,1.631578947,,
9,19,2,18,0.088,0,0.249,0,0.39148,0.27241,0.085589,-0.18494,0.575,0.35,0.5375,0.6,0.37,0.5375,NaN,0.575,-0.065217391,0.11907,0.270529,1.437098491,-0.462793338,41,190,0.3262,0.6738,0.2236,0.934782609,,
10,19,1,18,0.088,0.062,0.249,0.175,0.24053,0.17327,0.033407,-0.0069007,0.625,0.525,0.6,0.65,0.675,0.35,0.675,0.625,-0.04,0.06726,0.0403077,1.388180297,-4.841103076,27,100,0.3416,0.6584,0.1406,0.56,,
3,20,1,19,0.062,0.062,0.088,0.088,0.51857,0.1329,-0.093562,-0.0012191,0.5,0.725,0.766666667,0.766666667,0.766666667,0.55,0.675,0.725,0.057471264,0.38567,-0.0923429,3.901956358,76.74678041,NaN,163,0.0616,0.9384,0.1287,1.1,,
4,20,1,20,0.088,0.022,0.124,0.031,0.23592,0.16121,0.037504,0.032994,0.6,0.275,0.625,0.6,0.55,0.55,0.45,0.6,0.041666667,0.07471,0.00451,1.46343279,1.13669152,22,-20,0.3183,0.6817,0.1331,0.916666667,,
12,19,1,18,0.125,0.031,0.354,0.088,0.36451,0.19671,-0.02665,-0.012532,0.75,0.7,0.575,0.95,0.7,0.425,0.5,0.75,-0.233333333,0.1678,-0.014118,1.853032383,2.126556017,32,-86,0.2255,0.7745,0.1731,0.566666667,,
13,19,1,21,0.088,0.177,0.249,0.501,0.37707,0.4821,0.039838,-0.027559,0.55,0.525,0.5,0.65,0.45,0.55,0.575,0.55,-0.090909091,-0.10503,0.067397,0.782140635,-1.445553177,12,-11,0.6204,0.3796,0.297,1,,
14,19,1,19,0.088,0.044,0.249,0.124,0.21661,0.14539,-0.027989,-0.014468,0.525,0.8,0.7,0.975,0.75,0.575,0.9,0.8,-0.125,0.07122,-0.013521,1.489854873,1.934545203,0,-85,0.3106,0.6894,0.1207,1.095238095,,
7,20,1,19,0.088,0.125,0.124,0.177,0.24194,0.2408,0.063977,-0.058865,0.575,0.75,0.75,0.65,0.825,0.525,0.925,0.75,0,0.00114,0.122842,1.004734219,-1.086842776,11,82,0.4976,0.5024,0.1707,0.913043478,,
15,19,1,19,0.044,0.031,0.124,0.088,0.19279,0.23139,-0.031583,0.047043,0.475,0.5,0.55,0.65,0.55,0.475,0.45,0.5,0.1,-0.0386,-0.078626,0.833182074,-0.671364496,NaN,-43,0.5903,0.4097,0.1481,1,,
9,20,2,21,0.088,0.125,0.124,0.177,0.25675,0.3165,-0.040358,-0.052904,0.675,0.8,0.725,0.8,0.85,0.575,0.85,0.8,-0.09375,-0.05975,0.012546,0.81121643,0.76285347,12,-13,0.6031,0.3969,0.1994,0.851851852,,
16,19,1,22,0.088,0.062,0.249,0.175,0.33048,0.65651,-0.016868,-0.027364,0.625,0.375,0.45,0.4,0.55,0.625,0.325,0.625,-0.28,-0.32603,0.010496,0.503389133,0.616430346,1,1,0.7978,0.2022,0.2952,1,,
17,19,2,19,0.125,0.022,0.354,0.062,0.45715,0.10193,0.071623,-0.018931,0.6,0.475,0.775,0.9,0.475,0.425,0.55,0.6,0.291666667,0.35522,0.090554,4.484940646,-3.78337119,12,102,0.0474,0.9526,0.0995,0.708333333,,
,,,,,,,,,,,,,,,,,,,,-0.04173913,,,,,,-39.5,,,,,,